Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
JT Kalkman,RUNNING,02-01-2026,18:02:43,01:12:13,6.46,149,5.4,14.5,11:11,04:08,855,28,76,,,122,,,,,,181.0,80.0,185,55,45,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,0.0,00:00,0,,,0.00,,,
,00:00:01,,0.0,00:00,0,,,0.00,,,
,00:00:02,91,0.1,00:00,0,,,0.00,,,
,00:00:03,92,0.3,192:48,0,,,0.00,,,
,00:00:04,92,0.3,192:48,0,,,0.00,,,
,00:00:05,92,0.7,90:46,0,,,0.00,,,
,00:00:06,92,0.0,00:00,0,,,0.10,,,
,00:00:07,92,0.0,00:00,0,,,0.10,,,
,00:00:08,92,0.0,00:00,0,,,0.10,,,
,00:00:09,93,0.0,00:00,0,,,0.10,,,
,00:00:10,93,0.0,00:00,0,,,0.10,,,
,00:00:11,93,0.0,00:00,0,,,0.10,,,
,00:00:12,92,0.0,00:00,0,,,0.10,,,
,00:00:13,90,0.0,00:00,0,,,0.10,,,
,00:00:14,89,0.0,00:00,0,,,0.10,,,
,00:00:15,88,0.0,00:00,0,,,0.10,,,
,00:00:16,88,0.0,00:00,0,,,0.10,,,
,00:00:17,88,0.0,00:00,0,,,0.10,,,
,00:00:18,87,0.0,00:00,0,,,0.10,,,
,00:00:19,86,0.0,00:00,0,,,0.10,,,
,00:00:20,87,0.0,00:00,0,,,0.10,,,
,00:00:21,87,0.0,00:00,0,,,0.10,,,
,00:00:22,88,0.0,00:00,0,,,0.10,,,
,00:00:23,90,0.0,00:00,0,,,0.10,,,
,00:00:24,90,0.0,00:00,0,,,0.10,,,
,00:00:25,90,1.0,57:36,0,,,0.10,,,
,00:00:26,90,1.4,41:47,0,,,0.50,,,
,00:00:27,90,1.8,32:49,0,,,1.00,,,
,00:00:28,91,2.2,27:02,0,,,1.60,,,
,00:00:29,91,2.6,23:15,0,,,2.30,,,
,00:00:30,92,2.9,20:41,0,,,3.30,,,
,00:00:31,92,3.2,18:29,0,,,4.10,,,
,00:00:32,93,3.6,16:37,0,,,4.90,,,
,00:00:33,95,4.2,14:21,0,,,6.00,,,
,00:00:34,94,4.9,12:22,51,,,7.40,,,
,00:00:35,94,5.4,11:02,66,,,8.90,,,
,00:00:36,94,5.9,10:12,78,,,10.60,,,
,00:00:37,94,6.2,09:41,79,,,12.50,,,
,00:00:38,95,6.4,09:24,80,,,14.00,,,
,00:00:39,95,6.5,09:16,80,,,15.90,,,
,00:00:40,97,6.6,09:09,80,,,17.80,,,
,00:00:41,97,6.6,09:02,81,,,19.60,,,
,00:00:42,100,6.8,08:52,82,,,21.50,,,
,00:00:43,107,6.9,08:39,82,,,23.60,,,
,00:00:44,111,7.1,08:26,82,,,25.50,,,
,00:00:45,112,7.3,08:13,82,,,27.30,,,
,00:00:46,112,7.4,08:05,82,,,29.50,,,
,00:00:47,112,7.5,08:03,82,,,31.50,,,
,00:00:48,114,7.5,08:02,82,,,33.70,,,
,00:00:49,113,7.6,07:56,82,,,35.90,,,
,00:00:50,115,7.7,07:49,82,,,38.00,,,
