Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
JT Kalkman,BOOTCAMP,08-01-2026,19:04:05,01:28:13,,125,,,,,760,43,,,,77,,,,,,181.0,80.0,185,55,45,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,,,,,,,,,,
,00:00:01,,,,,,,,,,
,00:00:02,,,,,,,,,,
,00:00:03,,,,,,,,,,
,00:00:04,,,,,,,,,,
,00:00:05,,,,,,,,,,
,00:00:06,,,,,,,,,,
,00:00:07,,,,,,,,,,
,00:00:08,,,,,,,,,,
,00:00:09,,,,,,,,,,
,00:00:10,,,,,,,,,,
,00:00:11,72,,,,,,,,,
,00:00:12,72,,,,,,,,,
,00:00:13,72,,,,,,,,,
,00:00:14,72,,,,,,,,,
,00:00:15,73,,,,,,,,,
,00:00:16,73,,,,,,,,,
,00:00:17,73,,,,,,,,,
,00:00:18,73,,,,,,,,,
,00:00:19,73,,,,,,,,,
,00:00:20,73,,,,,,,,,
,00:00:21,74,,,,,,,,,
,00:00:22,74,,,,,,,,,
,00:00:23,74,,,,,,,,,
,00:00:24,75,,,,,,,,,
,00:00:25,77,,,,,,,,,
,00:00:26,78,,,,,,,,,
,00:00:27,78,,,,,,,,,
,00:00:28,81,,,,,,,,,
,00:00:29,83,,,,,,,,,
,00:00:30,87,,,,,,,,,
,00:00:31,89,,,,,,,,,
,00:00:32,89,,,,,,,,,
,00:00:33,90,,,,,,,,,
,00:00:34,91,,,,,,,,,
,00:00:35,93,,,,,,,,,
,00:00:36,94,,,,,,,,,
,00:00:37,94,,,,,,,,,
,00:00:38,95,,,,,,,,,
,00:00:39,96,,,,,,,,,
,00:00:40,97,,,,,,,,,
,00:00:41,98,,,,,,,,,
,00:00:42,98,,,,,,,,,
,00:00:43,98,,,,,,,,,
,00:00:44,99,,,,,,,,,
,00:00:45,100,,,,,,,,,
,00:00:46,100,,,,,,,,,
,00:00:47,100,,,,,,,,,
,00:00:48,101,,,,,,,,,
,00:00:49,102,,,,,,,,,
,00:00:50,103,,,,,,,,,
,00:00:51,103,,,,,,,,,
,00:00:52,103,,,,,,,,,
,00:00:53,104,,,,,,,,,
,00:00:54,104,,,,,,,,,
,00:00:55,106,,,,,,,,,
,00:00:56,107,,,,,,,,,
,00:00:57,107,,,,,,,,,
,00:00:58,108,,,,,,,,,
,00:00:59,109,,,,,,,,,
,00:01:00,109,,,,,,,,,
,00:01:01,109,,,,,,,,,
,00:01:02,109,,,,,,,,,
,00:01:03,109,,,,,,,,,
,00:01:04,109,,,,,,,,,
,00:01:05,110,,,,,,,,,
,00:01:06,110,,,,,,,,,
,00:01:07,110,,,,,,,,,
,00:01:08,112,,,,,,,,,
,00:01:09,112,,,,,,,,,
,00:01:10,113,,,,,,,,,
,00:01:11,113,,,,,,,,,
,00:01:12,113,,,,,,,,,
,00:01:13,115,,,,,,,,,
,00:01:14,115,,,,,,,,,
,00:01:15,116,,,,,,,,,
,00:01:16,116,,,,,,,,,
,00:01:17,116,,,,,,,,,
,00:01:18,116,,,,,,,,,
,00:01:19,117,,,,,,,,,
,00:01:20,118,,,,,,,,,
,00:01:21,119,,,,,,,,,
,00:01:22,119,,,,,,,,,
,00:01:23,120,,,,,,,,,
,00:01:24,121,,,,,,,,,
,00:01:25,123,,,,,,,,,
,00:01:26,123,,,,,,,,,
,00:01:27,123,,,,,,,,,
,00:01:28,123,,,,,,,,,
,00:01:29,124,,,,,,,,,
,00:01:30,126,,,,,,,,,
,00:01:31,128,,,,,,,,,
,00:01:32,128,,,,,,,,,
,00:01:33,128,,,,,,,,,
,00:01:34,129,,,,,,,,,
,00:01:35,129,,,,,,,,,
,00:01:36,130,,,,,,,,,
,00:01:37,130,,,,,,,,,
,00:01:38,130,,,,,,,,,
,00:01:39,130,,,,,,,,,
,00:01:40,131,,,,,,,,,
,00:01:41,131,,,,,,,,,
,00:01:42,131,,,,,,,,,
,00:01:43,131,,,,,,,,,
,00:01:44,131,,,,,,,,,
,00:01:45,131,,,,,,,,,
,00:01:46,130,,,,,,,,,
,00:01:47,130,,,,,,,,,
,00:01:48,129,,,,,,,,,
,00:01:49,129,,,,,,,,,
,00:01:50,130,,,,,,,,,
,00:01:51,131,,,,,,,,,
,00:01:52,131,,,,,,,,,
,00:01:53,130,,,,,,,,,
,00:01:54,129,,,,,,,,,
,00:01:55,127,,,,,,,,,
,00:01:56,126,,,,,,,,,
,00:01:57,126,,,,,,,,,
,00:01:58,126,,,,,,,,,
,00:01:59,127,,,,,,,,,
,00:02:00,129,,,,,,,,,
,00:02:01,130,,,,,,,,,
,00:02:02,130,,,,,,,,,
,00:02:03,129,,,,,,,,,
,00:02:04,128,,,,,,,,,
,00:02:05,127,,,,,,,,,
,00:02:06,127,,,,,,,,,
,00:02:07,127,,,,,,,,,
,00:02:08,127,,,,,,,,,
,00:02:09,127,,,,,,,,,
,00:02:10,127,,,,,,,,,
,00:02:11,128,,,,,,,,,
,00:02:12,128,,,,,,,,,
,00:02:13,128,,,,,,,,,
,00:02:14,128,,,,,,,,,
,00:02:15,129,,,,,,,,,
,00:02:16,128,,,,,,,,,
,00:02:17,128,,,,,,,,,
,00:02:18,128,,,,,,,,,
,00:02:19,128,,,,,,,,,
,00:02:20,128,,,,,,,,,
,00:02:21,128,,,,,,,,,
,00:02:22,128,,,,,,,,,
,00:02:23,128,,,,,,,,,
,00:02:24,128,,,,,,,,,
,00:02:25,127,,,,,,,,,
,00:02:26,127,,,,,,,,,
,00:02:27,127,,,,,,,,,
,00:02:28,127,,,,,,,,,
,00:02:29,127,,,,,,,,,
,00:02:30,129,,,,,,,,,
,00:02:31,129,,,,,,,,,
,00:02:32,128,,,,,,,,,
,00:02:33,128,,,,,,,,,
,00:02:34,128,,,,,,,,,
,00:02:35,129,,,,,,,,,
,00:02:36,128,,,,,,,,,
,00:02:37,128,,,,,,,,,
,00:02:38,128,,,,,,,,,
,00:02:39,128,,,,,,,,,
,00:02:40,128,,,,,,,,,
,00:02:41,128,,,,,,,,,
,00:02:42,128,,,,,,,,,
,00:02:43,128,,,,,,,,,
