Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
JT Kalkman,RUNNING,24-01-2026,15:15:38,00:58:57,7.75,145,7.9,12.4,07:36,04:51,672,28,79,,44,94,71,80,,,,181.0,80.0,185,55,45,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,88,0.0,00:00,0,,,0.00,,,
,00:00:01,88,0.1,00:00,0,,,0.00,,,
,00:00:02,88,0.3,202:59,0,,,0.00,,,
,00:00:03,88,0.7,80:19,0,,,0.00,,,
,00:00:04,87,1.4,42:24,0,,,0.10,,,
,00:00:05,86,2.1,28:13,29,,,0.30,,,
,00:00:06,86,2.8,21:09,56,,,0.50,,,
,00:00:07,86,3.5,17:05,61,,,1.00,,,
,00:00:08,85,4.1,14:34,63,,,1.90,,,
,00:00:09,85,4.7,12:52,64,,,3.10,,,
,00:00:10,85,5.1,11:42,64,,,4.50,,,
,00:00:11,85,5.5,10:52,64,,,6.10,,,
,00:00:12,85,5.8,10:16,64,,,7.80,,,
,00:00:13,86,5.8,10:16,64,,,9.50,,,
,00:00:14,89,3.9,15:18,64,,,9.70,,,
,00:00:15,89,5.3,11:24,64,,,9.70,,,
,00:00:16,90,6.6,09:03,64,,,9.70,,,
,00:00:17,90,6.7,09:01,64,,,11.50,,,
,00:00:18,90,6.8,08:49,64,,,13.10,,,
,00:00:19,92,6.9,08:42,63,,,14.10,,,
,00:00:20,93,7.0,08:37,62,,,17.10,,,
,00:00:21,95,7.0,08:37,62,,,19.40,,,
,00:00:22,95,7.0,08:37,63,,,21.90,,,
,00:00:23,96,6.9,08:40,64,,,21.90,,,
,00:00:24,99,6.9,08:43,64,,,23.10,,,
,00:00:25,101,6.9,08:46,64,,,26.20,,,
,00:00:26,102,6.9,08:46,64,,,27.80,,,
,00:00:27,102,6.9,08:46,64,,,29.70,,,
,00:00:28,102,6.8,08:49,62,,,29.70,,,
,00:00:29,104,6.3,09:29,63,,,30.70,,,
,00:00:30,104,5.8,10:24,63,,,32.90,,,
,00:00:31,105,5.2,11:30,63,,,34.10,,,
,00:00:32,105,4.8,12:28,63,,,34.80,,,
,00:00:33,105,4.6,13:04,63,,,35.80,,,
,00:00:34,105,4.8,12:28,63,,,36.90,,,
,00:00:35,105,5.0,12:00,65,,,38.50,,,
,00:00:36,105,5.2,11:35,66,,,39.70,,,
,00:00:37,105,5.2,11:30,66,,,40.60,,,
,00:00:38,105,5.1,11:45,65,,,41.80,,,
,00:00:39,105,5.1,11:45,65,,,43.00,,,
,00:00:40,105,5.2,11:30,65,,,44.50,,,
,00:00:41,105,5.4,11:10,65,,,46.10,,,
,00:00:42,105,5.5,10:52,64,,,48.00,,,
,00:00:43,105,5.7,10:32,62,,,49.80,,,
,00:00:44,104,5.9,10:08,63,,,51.30,,,
,00:00:45,104,6.1,09:53,63,,,53.10,,,
,00:00:46,105,6.2,09:43,76,,,55.40,,,
,00:00:47,105,6.3,09:31,82,,,56.90,,,
,00:00:48,106,6.4,09:22,86,,,58.90,,,
,00:00:49,111,6.4,09:22,87,,,61.40,,,
,00:00:50,113,6.6,09:10,87,,,64.84,,,
,00:00:51,115,6.8,08:51,88,,,68.28,,,
,00:00:52,115,7.0,08:32,89,,,71.72,,,
,00:00:53,117,7.4,08:08,89,,,75.16,,,
,00:00:54,116,7.7,07:50,88,,,78.59,,,
,00:00:55,118,7.9,07:36,88,,,82.03,,,
,00:00:56,119,8.1,07:26,88,,,85.47,,,
,00:00:57,119,8.2,07:18,89,,,88.91,,,
,00:00:58,118,8.3,07:16,88,,,92.35,,,
,00:00:59,117,8.3,07:14,88,,,95.79,,,
,00:01:00,120,8.3,07:12,88,,,99.23,,,
,00:01:01,123,8.3,07:12,88,,,102.67,,,
,00:01:02,123,8.3,07:12,88,,,106.11,,,
,00:01:03,123,8.3,07:12,88,,,109.54,,,
,00:01:04,123,8.4,07:09,89,,,112.30,,,
,00:01:05,124,8.5,07:05,88,,,114.80,,,
,00:01:06,125,8.5,07:02,88,,,117.40,,,
,00:01:07,125,8.6,06:59,88,,,120.30,,,
,00:01:08,124,8.7,06:55,88,,,122.30,,,
,00:01:09,124,8.7,06:53,88,,,125.10,,,
,00:01:10,125,8.8,06:50,88,,,127.80,,,
,00:01:11,127,8.8,06:47,88,,,130.20,,,
,00:01:12,127,8.9,06:44,88,,,133.30,,,
,00:01:13,131,9.0,06:41,88,0,,136.40,,,
,00:01:14,136,9.1,06:37,88,0,,139.00,,,
,00:01:15,136,9.2,06:33,88,0,,141.80,,,
,00:01:16,136,9.2,06:30,88,0,,144.60,,,
,00:01:17,136,9.3,06:26,88,0,,147.80,,,
,00:01:18,136,9.5,06:21,88,0,,151.10,,,
,00:01:19,135,9.5,06:19,88,0,,154.20,,,
,00:01:20,135,9.6,06:17,86,0,,157.20,,,
,00:01:21,134,9.5,06:19,85,0,,160.30,,,
,00:01:22,134,9.4,06:24,85,0,,162.50,,,
,00:01:23,134,9.2,06:32,85,0,,164.90,,,
,00:01:24,135,9.0,06:40,87,0,,167.00,,,
,00:01:25,135,8.8,06:48,87,0,,168.80,,,
,00:01:26,135,8.6,06:58,87,0,,170.80,,,
,00:01:27,135,8.3,07:12,87,0,,171.80,,,
,00:01:28,135,8.0,07:29,87,0,,173.30,,,
,00:01:29,136,7.8,07:43,87,0,,174.50,,,
,00:01:30,136,7.7,07:50,87,0,,175.50,,,
,00:01:31,137,7.6,07:57,87,0,,177.10,,,
,00:01:32,137,7.6,07:54,87,0,,179.00,,,
,00:01:33,137,7.7,07:46,87,1,,181.00,,,
,00:01:34,138,7.9,07:38,87,1,,183.20,,,
,00:01:35,139,8.1,07:27,87,1,,185.10,,,
,00:01:36,139,8.2,07:20,87,1,,187.90,,,
,00:01:37,139,8.3,07:14,87,1,,190.90,,,
,00:01:38,139,8.4,07:09,87,1,,194.00,,,
,00:01:39,139,8.5,07:03,87,1,,197.10,,,
,00:01:40,140,8.6,06:57,87,1,,199.90,,,
,00:01:41,140,9.0,06:40,87,2,,202.90,,,
,00:01:42,140,9.2,06:31,87,2,,205.40,,,
,00:01:43,140,9.3,06:25,86,2,,208.40,,,
,00:01:44,140,9.4,06:24,85,2,,211.20,,,
,00:01:45,140,9.4,06:24,85,2,,213.80,,,
,00:01:46,141,9.3,06:29,86,2,,216.20,,,
,00:01:47,141,9.2,06:33,87,2,,218.50,,,
,00:01:48,142,9.1,06:37,87,3,,220.70,,,
,00:01:49,142,9.2,06:31,87,3,,223.10,,,
,00:01:50,142,9.4,06:23,87,3,,225.40,,,
,00:01:51,141,9.7,06:10,87,3,,228.84,,,
,00:01:52,141,10.0,05:59,87,3,,232.28,,,
,00:01:53,142,10.1,05:56,87,3,,235.70,,,
,00:01:54,142,10.2,05:52,87,4,,239.14,,,
,00:01:55,142,10.4,05:47,86,4,,242.58,,,
,00:01:56,143,10.4,05:45,85,4,,246.02,,,
,00:01:57,143,10.5,05:44,85,4,,249.46,,,
,00:01:58,143,10.5,05:44,87,4,,252.89,,,
,00:01:59,143,10.5,05:44,87,3,,256.10,,,
,00:02:00,143,10.5,05:44,87,3,,258.10,,,
,00:02:01,143,10.5,05:44,87,3,,260.20,,,
,00:02:02,143,10.5,05:44,87,3,,263.30,,,
,00:02:03,143,10.5,05:44,86,2,,266.00,,,
,00:02:04,143,10.1,05:55,87,2,,267.90,,,
,00:02:05,143,10.1,05:56,85,2,,269.30,,,
,00:02:06,144,10.1,05:58,85,2,,271.10,,,
,00:02:07,144,10.0,06:01,85,2,,273.20,,,
,00:02:08,144,9.8,06:06,85,1,,274.40,,,
,00:02:09,144,9.7,06:10,85,1,,274.80,,,
,00:02:10,145,9.6,06:15,85,1,,276.10,,,
,00:02:11,145,9.5,06:19,85,1,,277.40,,,
,00:02:12,145,9.4,06:22,85,0,,280.40,,,
,00:02:13,145,9.4,06:25,85,0,,283.00,,,
,00:02:14,145,9.3,06:26,86,0,,285.70,,,
